序号,股票代码,股票名称,所属行业,数据来源,缓存命中,数据日期,收盘价,MA5,MA20,站上MA5,站上MA20,MA5高于MA20,MA5上行,前20日平台最高价,平台突破幅度（%）,收盘突破前20日平台,RSI14,MACD_DIF,MACD_DEA,MACD柱,MACD多头,MACD空头,MACD金叉,MACD死叉,最近MACD金叉日期,最近MACD金叉距今交易日数,"KDJ_K(89,3,3)","KDJ_D(89,3,3)","KDJ_J(89,3,3)",KDJ金叉,KDJ死叉,最近KDJ健康金叉日期,最近KDJ健康金叉距今交易日数（0=当日）,KDJ金叉且状态良好,当日成交量,5日均量,量比,放量,当日成交额,换手率,估算流通市值（亿元）,当日涨跌幅,振幅,BIAS20,上影线比例,收盘日内位置（%）,收盘位于日内高位,60日最高价,触及60日高点压力,近3日十字星,近3日倒T字星,近3日吊颈线,近3日长上影阳线,近3日极端大阳线
1313,002847,盐津铺子,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,49.9,51.066,48.791000000000004,False,True,True,False,53.84,-7.317979197622594,False,51.89189190729918,0.6763864153341714,0.3301309860416376,0.6925108585850677,True,False,False,False,,,42.08636284797334,42.31501581200589,41.62905691990825,False,True,,,False,34944.0,50626.6,0.6902300371741338,False,174634700.0,1.43,122.12216783216783,-1.3248961835080175,2.4520466679849755,2.2729601770818277,0.0,29.032258064516036,False,60.87,False,True,False,False,False,False
1314,002848,高斯贝尔,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,12.76,12.594,12.593,True,True,True,True,14.02,-8.987161198288158,False,48.3204227314092,-0.3385995593786042,-0.4667950212643879,0.25639092377156736,True,False,False,False,2026-08-03,3.0,14.834001102857115,11.875980644310024,20.750042019951298,False,False,2026-08-03,3.0,True,63726.0,52964.8,1.203176449264417,False,81617800.0,3.85,21.19942857142857,0.23566378633148588,2.906520031421846,1.3261335662669722,45.9459459459458,43.24324324324317,False,17.92,False,False,False,False,False,False
1315,002849,威星智能,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,16.09,14.64,14.1065,True,True,True,True,16.14,-0.30978934324659674,False,61.522907594686835,-0.22169645227333312,-0.5618242238772325,0.6802555432077988,True,False,False,False,2026-07-29,6.0,38.02245169151655,28.695590262009762,56.67617455053013,False,False,,,False,115858.0,54250.8,2.135599843688941,True,184158600.0,5.29,34.81258979206049,4.142394822006468,7.1844660194174725,14.060893914153045,19.819819819819728,80.18018018018027,True,19.74,False,False,False,False,False,False
1316,002850,科达利,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,179.0,181.52200000000002,181.6845,False,False,False,True,208.46,-14.1322076177684,False,46.647778249476964,-3.190985464541825,-3.627822010282642,0.873673091481634,True,False,False,False,2026-08-05,1.0,30.917916553485515,34.89885637174231,22.956036916971925,False,False,,,False,46838.0,48395.6,0.9678152559323575,False,838860200.0,2.23,376.17049327354266,-2.6962383126766687,3.3322461404653154,-1.4775613770024487,13.703099510603655,35.72593800978792,False,237.77,False,True,False,False,True,False
1317,002851,麦格米特,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,121.3,109.982,129.5845,True,False,False,True,176.5,-31.274787535410763,False,46.332615952310306,-10.975546443318649,-10.23001236580751,-1.4910681550222762,False,True,False,False,,,20.850945738145835,19.140631748889053,24.271573716659397,True,False,,,False,339434.0,346232.6,0.9803640673928452,False,4028469400.0,6.9,583.8361449275362,4.12017167381975,9.330472103004297,-6.393125721054598,19.04323827046924,80.95676172953075,True,189.95,False,False,False,False,False,True
1318,002852,道道全,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,7.77,7.773999999999999,7.539,False,True,True,True,7.97,-2.509410288582185,False,55.73900402805529,0.042312721551547305,-0.01698598852009961,0.11859742014329383,True,False,False,False,2026-07-27,8.0,23.756798278293676,20.821289257774605,29.62781631933182,False,False,2026-07-28,7.0,True,39905.0,39092.0,1.0207970940345852,False,30760700.0,1.4,21.97192857142857,0.6476683937823857,2.5906735751295358,3.0640668523676866,15.00000000000011,84.99999999999989,True,8.92,False,False,False,False,False,False
1319,002853,皮阿诺,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,21.0,20.23,20.4745,True,True,False,True,24.6,-14.634146341463419,False,52.423302860621945,-0.44460814769255563,-0.6919363502155795,0.4946564050460478,True,False,False,False,2026-08-04,2.0,22.67449959995857,18.794006357393133,30.435486085089444,False,False,2026-08-03,3.0,True,11348.0,17221.6,0.6589399358944582,False,23612500.0,0.88,26.832386363636363,1.0101010101010166,3.463203463203475,2.5666072431561258,16.66666666666675,83.33333333333324,True,30.08,False,False,False,False,True,False
1320,002855,捷荣技术,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,9.91,9.738000000000001,9.196,True,True,True,True,9.91,0.0,False,58.13554822523169,-0.015826187727753904,-0.19518928007870048,0.35872618470189316,True,False,False,False,2026-07-10,19.0,30.899639598358373,27.070495066585604,38.55792866190391,False,False,,,False,23480.0,32317.6,0.7265390994380772,False,23106900.0,0.95,24.32305263157895,1.0193679918450549,2.85423037716615,7.764245324053941,14.285714285714013,85.71428571428599,True,13.4,False,False,False,True,False,False
1321,002856,*ST美芝,E 建筑业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,15.44,15.046000000000001,14.3125,True,True,True,True,18.99,-18.6940494997367,False,49.56372707418425,-0.7591467669780059,-1.191099089296844,0.8639046446376764,True,False,False,False,2026-07-29,6.0,25.69045703928927,23.45170269869551,30.167965720476793,False,False,2026-07-28,7.0,True,55614.0,65882.8,0.8441353433673128,False,83813600.0,4.49,18.66672605790646,2.3872679045092715,5.835543766578255,7.877729257641917,15.909090909090958,84.09090909090904,True,28.34,False,False,False,False,True,False
1322,002857,三晖电气,C 制造业,腾讯前复权日K回退（成交额、换手率已提供）,False,2026-08-06,16.65,16.262,15.213,True,True,True,True,16.88,-1.3625592417061638,False,55.94863230081715,-0.12330004930849725,-0.4820267590951381,0.7174534195732817,True,False,False,False,2026-07-27,8.0,24.623156340351795,19.288235500368007,35.29299802031937,False,False,2026-07-27,8.0,True,27411.0,30511.8,0.8983737439285785,False,44909799.99999999,2.13,21.084413145539905,0.7259528130671322,2.8433151845129996,9.4458686649576,0.0,100.0,True,23.1,False,False,False,True,False,False
